uid,company,url,color,industry,location,,,,
208,munich-black,logo-munich-re-group.gif,black,,,,,,
209,nestle-black,logo-nestle.gif,black,,global,,,,
210,nissan-black,logo-nissan.jpg,black,automotive,global,,,,
211,nissan-gray,logo-nissan.jpg,gray,automotive,global,,,,
212,nokia,Nokia-logo-7783F89CA5-seeklogo.com.gif,blue,electronics,global,,,,
213,nokia,logo-nokia.gif,blue,electronics,global,,,,
214,nippon telegraph telephone,logo-nippon-telegraph-telephone.gif,blue,,,,,,
215,oi,Oi-logo-97A308AE93-seeklogo.com.gif,white,telecomunications,,,,,
216,oi,Oi-logo-97A308AE93-seeklogo.com.gif,yellow,telecomunications,,,,,
217,opel,OPEL_Logo_-_new-logo-D9A5129C2D-seeklogo.com.gif,gray,automotive,,,,,
218,opel,OPEL_Logo_-_new-logo-D9A5129C2D-seeklogo.com.gif,yellow,automotive,,,,,
219,P&G,P_and_amp_G-logo-A9236E27E1-seeklogo.com.gif,blue,consumer goods,global,,,,
220,P&G,P_and_amp_G-logo-A9236E27E1-seeklogo.com.gif,blue,consumer goods,global,,,,
221,panasonic,logo-panasonic.gif,blue,electronics,global,,,,
222,paypal,PayPal-logo-64D8CCB585-seeklogo.com.gif,blue,finacial,global,,,,
223,paypal,PayPal-logo-64D8CCB585-seeklogo.com.gif,blue,finacial,global,,,,
224,pemex,logo-pemex.gif,green,,sa,,,,
225,pemex,logo-pemex.gif,red,,sa,,,,
226,petrobras,logo-petrobras.gif,green,,sa,,,,
227,petrobras,logo-petrobras.gif,yellow,,sa,,,,
228,petronas,logo-petrobras.gif,black,,sa,,,,
229,petronas,logo-petrobras.gif,blue,,sa,,,,
230,peugeot,Peugeot-logo-312276EC7F-seeklogo.com.gif,blue,automotive,global,,,,
231,peugeot,Peugeot-logo-312276EC7F-seeklogo.com.gif,blue,automotive,global,,,,
232,peugeot,Peugeot-logo-312276EC7F-seeklogo.com.gif,white,automotive,global,,,,
233,pioneer,Pioneer-logo-C7988FB77E-seeklogo.com.gif,pink,,,,,,
234,pirelli,Pirelli-logo-A90A17676A-seeklogo.com.gif,red,automotive,global,,,,
235,pirelli,Pirelli-logo-A90A17676A-seeklogo.com.gif,yellow,automotive,global,,,,
236,pixar-cars,Disney_and_Pixar_-_Cars-logo-FF5AA6884E-seeklogo.com.gif,black,entertainment,global,,,,
237,pixar-cars,Disney_and_Pixar_-_Cars-logo-FF5AA6884E-seeklogo.com.gif,blue,entertainment,global,,,,
238,pixar-cars,Disney_and_Pixar_-_Cars-logo-FF5AA6884E-seeklogo.com.gif,red,entertainment,global,,,,
239,prada,PRADA-logo-47D1CEFA23-seeklogo.com.gif,black,fashion,global,,,,
240,prudential,logo-prudential.gif,blue,insurance,na,,,,
241,puma,puma-logo-B8E03BAABF-seeklogo.com.gif,black,activewear,global,,,,
242,rayban,Ray_Ban_Genuine-logo-5A40D02A74-seeklogo.com.gif,red,accessories,global,,,,
243,rayban,ray_Ban_Genuine-logo-5A40D02A74-seeklogo.com.gif,white,accessories,global,,,,
244,rbs,logo-royal-bank-of-scotland.gif,blue,financial,,,,,
245,reebok,Reebok-logo-76B4508C27-seeklogo.com.gif,gray,activewear,global,,,,
246,remax,remax-logo-780F8E9820-seeklogo.com.gif,blue,real estate,na,,,,
247,remax,reebok-logo-76B4508C27-seeklogo.com.gif,red,real estate,na,,,,
248,renault,Renault-logo-189254C54A-seeklogo.com.gif,black,automotive,global,,,,
249,renault,renault-logo-189254C54A-seeklogo.com.gif,gray,automotive,global,,,,
250,renault,renault-logo-189254C54A-seeklogo.com.gif,yellow,automotive,global,,,,
251,repsol,logo-repsol-ypf.gif,blue,,,,,,
252,repsol,logo-repsol-ypf.gif,orange,,,,,,
253,repsol,logo-repsol-ypf.gif,red,,,,,,
254,repsol,logo-repsol-ypf.gif,white,,,,,,
255,rolling stones,Rolling_Stones-logo-B455DE3C86-seeklogo.com.gif,red,entertainment,global,,,,
256,rolling stones,Rolling_Stones-logo-B455DE3C86-seeklogo.com.gif,white,entertainment,global,,,,
