HexNotation,Hue,Saturation,Value,HueSpectrum,ValueSpectrum,SaturationSpectrum
#AA9688,25.03666363,16.62753774,63.571804,Red/Orange,light,Dullest
#936851,20.61410371,29.01934756,48.002707,Red/Orange,Mid-Value,Dull
#8F7C6E,25.37057107,12.75863989,53.598255,Red/Orange,Mid-Value,Dullest
#9AAE9E,132.3580868,10.61611044,69.278802,Green,light,Dullest
#A3988C,31.16127814,11.3184445,63.71312,Orange,light,Dullest
#BC9774,29.02320178,35.15682112,65.310138,Red/Orange,light,Dull
#003F7D,209.3909312,100,26.213917,Green/Blue,Dark,Brightest
#5A3D2E,20.40033572,31.89134923,28.934883,Red/Orange,Dark,Dull
#B4D1B8,128.590653,24.01959641,81.214394,Green,Lightest,Dull
#D6C1A5,33.68502887,38.21229609,79.28958,Orange,light,Dull
#847B77,17.22457214,5.158069049,52.585592,Red/Orange,Mid-Value,Dullest
#E5828E,352.5223763,66.11445393,65.604355,Red/Purple,light,Bright
#3D5751,165.374482,17.89900857,35.12438,Green,Dark,Dullest
#003970,209.1831092,100,23.763645,Green/Blue,Dark,Brightest
#CE89A1,339.0494089,41.32906801,64.691861,Red/Purple,light,Medium
#6F4A38,20.125027,32.63633097,35.434401,Red/Orange,Dark,Dull
#B789B7,300.2223715,24.1247915,63.102526,Purple,light,Dull
#D16519,24.68699824,78.02043258,55.099987,Red/Orange,Mid-Value,Bright
#5D493E,22.19109821,20.43195928,33.149568,Red/Orange,Dark,Dullest
#746255,24.69790037,15.51762499,42.980127,Red/Orange,Mid-Value,Dullest
#6A4234,16.20428483,34.32350711,32.538114,Red/Orange,Dark,Dull
#819E6D,95.74857005,20.50900938,62.175666,Yellow/Green,light,Dullest
#C35763,353.8088038,47.44036649,51.303022,Red/Purple,Mid-Value,Medium
#DB3844,355.5273175,69.53282033,50.041697,Red/Purple,Mid-Value,Bright
#A884B3,285.330633,23.70197366,60.168153,Purple,Mid-Value,Dull
#264D63,201.7548536,44.76376953,31.169421,Green/Blue,Dark,Medium
#ADCA62,76.85480701,49.49374585,77.336267,Yellow,light,Medium
#EFA365,27.10527553,81.53537171,73.464138,Red/Orange,light,Brightest
#955F43,20.84267318,38.0471541,45.845388,Red/Orange,Mid-Value,Dull
#C68A8C,358.272337,35.06696301,63.591593,Red/Purple,light,Dull
#7E746D,24.69750139,7.391326063,49.621306,Red/Orange,Mid-Value,Dullest
#618F56,108.3788017,24.93212469,55.233812,Yellow/Green,Mid-Value,Dull
#D2621E,22.70131324,74.77490171,54.704946,Red/Orange,Mid-Value,Bright
#566624,74.73859299,47.21996379,40.703204,Yellow,Dark,Medium
#496B58,146.7795279,18.8727173,42.500228,Green,Mid-Value,Dullest
#FC6C67,1.981567493,96.39111773,63.730967,Red,light,Brightest
#A98A71,26.98093139,24.72000136,59.932471,Red/Orange,Mid-Value,Dull
#78317D,295.9500148,43.48994083,33.371159,Purple,Dark,Medium
#85807A,31.67575763,4.230301733,54.046138,Orange,Mid-Value,Dullest
#CBB1C0,323.3532203,19.95018114,74.857121,Red/Purple,light,Dullest
#A08B7E,23.18407959,15.20061065,59.496473,Red/Orange,Mid-Value,Dullest
#9F7C65,24.09765792,23.28045945,55.110242,Red/Orange,Mid-Value,Dull
#626276,239.5565638,9.13706745,42.545077,Green/Blue,Mid-Value,Dullest
#A1755C,22.14237785,27.38796244,53.296148,Red/Orange,Mid-Value,Dull
#FFA953,30.34183038,100,77.597406,Orange,light,Brightest
#68605F,11.01511717,4.979144863,41.77085,Red,Mid-Value,Dullest
#B76F79,351.242192,33.50457271,55.007415,Red/Purple,Mid-Value,Dull
#447947,123.2828533,27.60251587,46.349001,Green,Mid-Value,Dull
#F1585F,357.3443996,84.61826881,58.574515,Red/Purple,Mid-Value,Brightest
#2F231E,17.81438862,22.47689935,15.194891,Red/Orange,Darkest,Dull
#E9BCC9,342.5123313,50.30264268,80.69649,Red/Purple,light,Medium
#195F7C,197.7600715,65.77930166,37.690173,Green/Blue,Dark,Bright
#006DB5,203.6254965,100,43.466723,Green/Blue,Mid-Value,Brightest
#BCAC9C,30.5088871,19.51857864,71.475034,Orange,light,Dullest
#F7D165,44.33243374,90.34596362,85.176779,Orange,Lightest,Brightest
#926D49,29.79433078,33.13421568,49.085771,Red/Orange,Mid-Value,Dull
#BA9B86,24.35578827,27.68969997,66.411098,Red/Orange,light,Dull
#BFA792,27.80215439,25.90454875,70.115451,Red/Orange,light,Dull
#6C5954,12.19663227,12.23821478,39.734762,Red,Dark,Dullest
#00537D,200.2028667,100,33.073416,Green/Blue,Dark,Brightest
#00395C,202.6128517,100,22.374813,Green/Blue,Dark,Brightest
#965D2F,26.52788292,52.15042011,45.052979,Red/Orange,Mid-Value,Medium
#485951,152.1366493,10.58359422,36.258212,Green,Dark,Dullest
#853128,6.010700885,53.66639388,32.653473,Red,Dark,Medium
#738575,127.6789085,7.098105016,53.783995,Green,Mid-Value,Dullest
#004E4B,177.7788205,100,29.314748,Green/Blue,Dark,Brightest
#8B5948,15.33260544,31.64630397,43.15648,Red/Orange,Mid-Value,Dull
#83674E,28.811306,25.22109251,45.977912,Red/Orange,Mid-Value,Dull
#45A959,131.6114849,41.7125047,62.275593,Green,light,Medium
#6E3F26,20.98839553,48.2615501,32.101807,Red/Orange,Dark,Medium
#40686B,183.6892661,25.26080146,41.525421,Green/Blue,Mid-Value,Dull
#FFC0BC,3.963090367,100,84.501384,Red,Lightest,Brightest
#9B8E80,31.51563109,11.67465142,59.961537,Orange,Mid-Value,Dullest
#006DB0,202.6875668,100,43.266679,Green/Blue,Mid-Value,Brightest
#82624E,23.04585035,24.7882341,44.410612,Red/Orange,Mid-Value,Dull
#FEC354,39.21331417,99.19965279,82.391954,Orange,Lightest,Brightest
